site,year,date,QY_max,NPQ_Lss,n_measurements
PIN,2023,2023-02-11,0.613,1.913,6
PIN,2023,2023-06-09,0.765,1.926,28
PIN,2023,2023-06-12,0.717,2.598,59
PIN,2023,2023-06-21,0.697,2.605,60
PIN,2023,2023-06-22,0.758,2.697,28
PIN,2023,2023-07-19,0.786,2.951,50
PIN,2023,2023-07-20,0.755,2.734,36
PIN,2023,2023-08-11,0.645,1.399,53
PIN,2023,2023-08-22,0.771,2.793,49
PIN,2023,2023-08-23,0.763,3.061,25
PIN,2023,2023-08-24,0.771,3.001,15
PIN,2023,2023-09-26,0.757,2.883,48
PIN,2023,2023-09-27,0.794,2.551,40
PIN,2023,2023-10-10,0.806,2.6,44
PIN,2023,2023-10-24,0.798,2.568,69
PIN,2023,2023-10-26,0.804,2.86,19
PIN,2023,2023-11-10,0.826,2.566,43
PIN,2023,2023-11-14,0.468,1.258,6
PIN,2023,2023-11-21,0.512,1.237,6
PIN,2023,2023-12-10,0.835,2.76,2
PIN,2023,2023-12-15,0.238,0.333,6
PIN,2023,NA,0.8,2.84,1
