site,date,Cluster,Genotype,wp_pd
PIK,2023-05-06,A,2147,0.296
PIK,2023-06-21,G,2147,0.206
PIK,2023-07-25,G,1589,0.1875
PIK,2023-08-19,G,2147,0.231
PIK,2023-09-07,G,2147,0.374
PIK,2023-10-13,G,2147,0.509
PIK,2023-05-06,A,377,0.318
PIK,2023-06-21,G,377,0.389
PIK,2023-07-25,G,2153,0.186
PIK,2023-08-19,G,377,0.274
PIK,2023-09-07,G,377,0.328
PIK,2023-10-13,G,377,0.501
PIK,2023-05-06,A,2036,0.298
PIK,2023-06-21,G,2036,0.41
PIK,2023-07-25,G,1412,0.1565
PIK,2023-08-19,G,2036,0.27
PIK,2023-09-07,G,2036,0.341
PIK,2023-10-13,G,2036,0.427
PIK,2023-05-06,A,486,0.158
PIK,2023-06-21,K,486,0.428
PIK,2023-07-25,K,1721,0.1885
PIK,2023-08-19,K,486,0.267
PIK,2023-09-07,K,486,0.57
PIK,2023-10-13,K,486,0.544
PIK,2023-05-06,A,953,0.288
PIK,2023-06-21,K,953,0.38
PIK,2023-07-25,K,1755,0.1245
PIK,2023-08-19,K,953,0.136
PIK,2023-09-07,K,953,0.397
PIK,2023-10-13,K,953,0.428
PIK,2023-05-06,B,377,0.53
PIK,2023-06-21,M,377,0.318
PIK,2023-07-25,M,2006,0.176
PIK,2023-08-19,M,377,0.264
PIK,2023-09-07,M,377,0.521
PIK,2023-10-13,M,377,0.365
PIK,2023-05-06,B,1199,0.31
PIK,2023-06-21,K,1199,0.357
PIK,2023-07-25,K,2089,0.127
PIK,2023-08-19,K,1199,0.214
PIK,2023-09-07,K,1199,0.732
PIK,2023-10-13,K,1199,0.367
PIK,2023-05-06,B,318,0.249
PIK,2023-06-21,G,318,0.386
PIK,2023-07-25,G,2147,0.2055
PIK,2023-08-19,G,318,0.136
PIK,2023-09-07,G,318,0.498
PIK,2023-10-13,G,318,0.331
PIK,2023-05-06,B,1222,0.305
PIK,2023-06-21,A,1222,0.298
PIK,2023-07-25,A,2147,0.0845
PIK,2023-08-19,A,1222,0.661
PIK,2023-09-07,A,1222,0.531
PIK,2023-10-13,A,1222,0.45
PIK,2023-05-06,B,295,0.248
PIK,2023-06-21,K,295,0.22
PIK,2023-07-25,K,2036,0.105
PIK,2023-08-19,K,295,0.251
PIK,2023-09-07,K,295,0.532
PIK,2023-10-13,K,295,0.399
PIK,2023-05-06,B,159,0.23
PIK,2023-06-21,K,159,0.328
PIK,2023-07-25,K,2147,0.2175
PIK,2023-08-19,K,159,0.201
PIK,2023-09-07,K,159,0.304
PIK,2023-10-13,K,159,0.353
PIK,2023-05-06,B,2006,0.125
PIK,2023-06-21,K,2006,0.456
PIK,2023-07-25,K,295,0.205
PIK,2023-08-19,K,2006,0.219
PIK,2023-09-07,K,2006,0.55
PIK,2023-10-13,K,2006,0.45
PIK,2023-05-06,B,2218,0.257
PIK,2023-06-21,D,2218,0.328
PIK,2023-07-25,D,159,0.1425
PIK,2023-08-19,D,2218,0.467
PIK,2023-09-07,D,2218,0.469
PIK,2023-10-13,D,2218,0.401
PIK,2023-05-06,B,1199,0.548
PIK,2023-06-21,D,1199,0.56
PIK,2023-07-25,D,2036,0.0905
PIK,2023-08-19,D,1199,0.199
PIK,2023-09-07,D,1199,0.634
PIK,2023-10-13,D,1199,0.304
PIK,2023-05-06,B,1069,0.283
PIK,2023-06-21,H,1069,0.598
PIK,2023-07-25,H,889,0.1625
PIK,2023-08-19,H,1069,0.281
PIK,2023-09-07,H,1069,0.46
PIK,2023-10-13,H,1069,0.354
PIK,2023-05-06,C,1420,0.528
PIK,2023-06-21,A,1420,0.408
PIK,2023-07-25,A,377,0.1595
PIK,2023-08-19,A,1420,0.505
PIK,2023-09-07,A,1420,0.639
