site,year,date,NDVI,PRI,GNDVI,n_measurements
PIK,2022,2022-06-28,0.783,-0.0374,0.636,437
PIK,2022,2022-07-29,0.8285,-0.0229,0.6804,484
PIK,2022,2022-09-22,0.8155,-0.018,0.6897,539
PIK,2022,2022-11-23,0.7079,-0.0909,0.6054,157
PIK,2023,2023-03-20,0.5122,-0.0911,0.4267,303
PIK,2023,2023-03-28,0.7222,-0.1796,0.639,304
PIK,2023,2023-04-10,0.6982,-0.1564,0.607,270
PIK,2023,2023-04-18,0.7542,-0.0838,0.6387,321
PIK,2023,2023-05-05,0.7778,-0.0969,0.6531,299
PIK,2023,2023-05-18,0.782,-0.0895,0.6276,219
PIK,2023,2023-06-19,0.8363,-0.0121,0.6362,514
PIK,2023,2023-07-18,0.8293,-0.0009,0.6632,320
PIK,2023,2023-08-19,0.8182,-0.0207,0.6515,346
PIK,2023,2023-09-05,0.8155,-0.0138,0.6507,301
PIK,2023,2023-09-26,0.8322,-0.0369,0.672,320
PIK,2023,2023-10-11,0.8372,-0.0421,0.7009,391
PIK,2023,2023-10-26,0.8341,-0.0698,0.688,519
PIK,2023,2023-11-14,0.8374,-0.0954,0.7051,305
PIK,2023,2023-11-23,0.8191,-0.1067,0.7005,356
PIK,2023,2023-12-14,0.7946,-0.1571,0.7059,293
PIN,2022,2022-07-22,0.8415,-0.0284,0.6774,185
PIN,2022,2022-08-09,0.8544,-0.0157,0.7301,465
PIN,2022,2022-10-03,0.8543,-0.0569,0.7336,510
PIN,2022,2022-11-07,0.7846,-0.0821,0.6565,355
PIN,2023,2023-05-08,0.8273,-0.1311,0.7034,132
PIN,2023,2023-05-09,0.8267,-0.124,0.7051,132
PIN,2023,2023-05-23,0.8036,-0.0995,0.6782,192
PIN,2023,2023-05-26,0.8049,-0.0964,0.6628,72
PIN,2023,2023-06-09,0.8634,-0.041,0.666,87
PIN,2023,2023-06-12,0.8526,-0.0255,0.6613,174
PIN,2023,2023-06-21,0.8616,-0.0181,0.6901,180
PIN,2023,2023-06-22,0.8634,-0.0137,0.6926,87
PIN,2023,2023-07-19,0.8334,-0.0104,0.6915,141
PIN,2023,2023-07-20,0.8325,-0.0086,0.6938,108
PIN,2023,2023-08-22,0.8285,-0.0225,0.6929,180
PIN,2023,2023-08-23,0.8208,-0.0261,0.6782,81
PIN,2023,2023-09-26,0.8335,-0.0369,0.694,153
PIN,2023,2023-09-27,0.845,-0.0273,0.712,108
PIN,2023,2023-10-10,0.8254,-0.0345,0.6947,144
PIN,2023,2023-10-11,0.828,-0.0311,0.6979,120
PIN,2023,2023-10-24,0.8395,-0.043,0.7129,207
PIN,2023,2023-10-26,0.84,-0.0319,0.71,60
PIN,2023,2023-11-08,0.8418,-0.0922,0.7169,144
PIN,2024,2024-05-07,0.8025,-0.1136,0.6765,522
PIN,2024,2024-05-22,0.8114,-0.0567,0.6364,534
PIN,2024,2024-06-05,0.8344,-0.0345,0.6046,348
PIN,2024,2024-08-22,0.8032,-0.0286,0.644,264
