site,year,date,NDVI,PRI,GNDVI,n_measurements
PIN,2023,2023-05-08,0.8273,-0.1311,0.7034,132
PIN,2023,2023-05-09,0.8267,-0.124,0.7051,132
PIN,2023,2023-05-23,0.8036,-0.0995,0.6782,192
PIN,2023,2023-05-26,0.8049,-0.0964,0.6628,72
PIN,2023,2023-06-09,0.8634,-0.041,0.666,87
PIN,2023,2023-06-12,0.8526,-0.0255,0.6613,174
PIN,2023,2023-06-21,0.8616,-0.0181,0.6901,180
PIN,2023,2023-06-22,0.8634,-0.0137,0.6926,87
PIN,2023,2023-07-19,0.8334,-0.0104,0.6915,141
PIN,2023,2023-07-20,0.8325,-0.0086,0.6938,108
PIN,2023,2023-08-22,0.8285,-0.0225,0.6929,180
PIN,2023,2023-08-23,0.8208,-0.0261,0.6782,81
PIN,2023,2023-09-26,0.8335,-0.0369,0.694,153
PIN,2023,2023-09-27,0.845,-0.0273,0.712,108
PIN,2023,2023-10-10,0.8254,-0.0345,0.6947,144
PIN,2023,2023-10-11,0.828,-0.0311,0.6979,120
PIN,2023,2023-10-24,0.8395,-0.043,0.7129,207
PIN,2023,2023-10-26,0.84,-0.0319,0.71,60
PIN,2023,2023-11-08,0.8418,-0.0922,0.7169,144
