site,year,flight_date,flight_id,source_file,site_treeid,treeTop_x,treeTop_y,treeTop_x_std,treeTop_y_std
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5851,647910.299993,4870869.814988999,0.14966629548589205,0.09797958980257773
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5852,647912.299993,4870870.614988999,0.14966629548589205,0.09797958980257772
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5853,647914.259993,4870871.254989,0.09797958974554609,0.14966629531165754
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5854,647915.819993,4870872.134988999,0.0979795897455461,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5855,647918.019993,4870872.734989,0.09797958968851447,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5856,647919.779993,4870873.014989001,0.14966629548589203,0.09797958980257773
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5857,647922.1399930001,4870873.574989,0.17888543821039568,0.09797958980257773
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5860,647927.339993,4870876.094989,0.12649110641409791,0.12649110652453918
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5862,647931.179993,4870877.414989,0.14966629548589205,0.09797958934632471
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5863,647933.059993,4870878.054989,0.09797958968851447,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5864,647934.6999929999,4870878.774989,0.1496662954734467,0.09797958980257773
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5865,647936.659993,4870879.454989,0.09797958968851447,0.14966629521209496
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5867,647940.619993,4870880.734989,0.09797958968851447,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5869,647944.179993,4870882.174989,0.14966629548589205,0.09797958980257773
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5870,647946.179993,4870882.974989,0.14966629548589203,0.09797958980257772
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5871,647948.019993,4870883.454989,0.09797958968851447,0.14966629521209496
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5873,647951.839993,4870884.894989,0.1000000000349246,0.1414213563690184
