Title,Authors,Is in PCA*?,Citation,DOI,# Cells,COPO Link,Viewer(s),Species
<div title='The genome and preliminary single-nuclei transcriptome of Lemna minuta reveals mechanisms of invasiveness' class='scea-table'>The genome and preliminary single-nuclei transcriptome of Lemna minuta reveals mechanisms of invasiveness</div>,"<div title='Abramson BW, Novotny M, Hartwick NT, Colt K, Aevermann BD, Scheuermann RH, Michael TP' class='scea-table'>Abramson BW, Novotny M, Hartwick NT, Colt K, Aevermann BD, Scheuermann RH, Michael TP</div>",,<div title='Plant Physiol. 2022 Feb 4;188(2):879-897. doi: 10.1093/plphys/kiab564.' class='scea-table'>Plant Physiol. 2022 Feb 4;188(2):879-897. doi: 10.1093/plphys/kiab564.</div>,<a href='http://dx.doi.org/10.1093/plphys/kiab564'>10.1093/plphys/kiab564</a>,269,,,<i>Lemna minuta</i>
<div title='Shoot and root single cell sequencing reveals tissue- and daytime-specific transcriptome profiles' class='scea-table'>Shoot and root single cell sequencing reveals tissue- and daytime-specific transcriptome profiles</div>,"<div title='Apelt F, Mavrothalassiti E, Gupta S, Machin F, Olas JJ, Annunziata MG, Schindelasch D, Kragler F' class='scea-table'>Apelt F, Mavrothalassiti E, Gupta S, Machin F, Olas JJ, Annunziata MG, Schindelasch D, Kragler F</div>",,<div title='Plant Physiol. 2022 Feb 4;188(2):861-878. doi: 10.1093/plphys/kiab537.' class='scea-table'>Plant Physiol. 2022 Feb 4;188(2):861-878. doi: 10.1093/plphys/kiab537.</div>,<a href='http://dx.doi.org/10.1093/plphys/kiab537'>10.1093/plphys/kiab537</a>,69131,,,<i>Arabidopsis thaliana</i>
<div title='Development of a single-cell atlas for woodland strawberry (Fragaria vesca) leaves during early Botrytis cinerea infection using single cell RNA-seq' class='scea-table'>Development of a single-cell atlas for woodland strawberry (Fragaria vesca) leaves during early Botrytis cinerea infection using single cell RNA-seq</div>,"<div title='Bai Y, Liu H, Lyu H, Su L, Xiong J, Cheng ZM' class='scea-table'>Bai Y, Liu H, Lyu H, Su L, Xiong J, Cheng ZM</div>",,<div title='Hortic Res. 2022 Jan 19;9:uhab055. doi: 10.1093/hr/uhab055. Online ahead of print.' class='scea-table'>Hortic Res. 2022 Jan 19;9:uhab055. doi: 10.1093/hr/uhab055. Online ahead of print.</div>,<a href='http://dx.doi.org/10.1093/hr/uhab055'>10.1093/hr/uhab055</a>,50327,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/CRA004848.h5ad'>scPlantDB</a>,<i>Fragaria vesca</i>
<div title='Evidence for phloem loading via the abaxial bundle sheath cells in maize leaves' class='scea-table'>Evidence for phloem loading via the abaxial bundle sheath cells in maize leaves</div>,"<div title='Bezrutczyk M, Zoellner NR, Kruse CPS, Hartwig T, Lautwein T, Koehrer K, Frommer WB, Kim JY' class='scea-table'>Bezrutczyk M, Zoellner NR, Kruse CPS, Hartwig T, Lautwein T, Koehrer K, Frommer WB, Kim JY</div>",,<div title='Plant Cell. 2021 May 5;33(3):531-547. doi: 10.1093/plcell/koaa055.' class='scea-table'>Plant Cell. 2021 May 5;33(3):531-547. doi: 10.1093/plcell/koaa055.</div>,<a href='http://dx.doi.org/10.1093/plcell/koaa055'>10.1093/plcell/koaa055</a>,10901,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP281914.h5ad'>scPlantDB</a> <a href='https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-157757/'>SCEA</a>,<i>Zea mays</i>
<div title='A common regulatory switch controls a suite of C4 traits in multiple cell types' class='scea-table'>A common regulatory switch controls a suite of C4 traits in multiple cell types</div>,"<div title='Camo-Escobar D, Alcala-Gutierrez C, Palafox-Figueroa E, Guillotin B, Hernandez-Coronado M, Coyac-Rodriguez JL, Cerbantez-Bueno VE, Velez-Ramirez A, de Folter S, Birnbaum K*, Ortiz-Ramirez C' class='scea-table'>Camo-Escobar D, Alcala-Gutierrez C, Palafox-Figueroa E, Guillotin B, Hernandez-Coronado M, Coyac-Rodriguez JL, Cerbantez-Bueno VE, Velez-Ramirez A, de Folter S, Birnbaum K*, Ortiz-Ramirez C</div>",Yes,<div title='bioRxiv [Preprint]. 2024 Jan 9:2023.12.21.572850. doi: 10.1101/2023.12.21.572850.' class='scea-table'>bioRxiv [Preprint]. 2024 Jan 9:2023.12.21.572850. doi: 10.1101/2023.12.21.572850.</div>,<a href='http://dx.doi.org/10.1101/2023.12.21.572850'>10.1101/2023.12.21.572850</a>,n/a,,,<i>Setaria viridis</i>
<div title='A suberized exodermis is required for tomato drought tolerance' class='scea-table'>A suberized exodermis is required for tomato drought tolerance</div>,"<div title='Canto-Pastor A, Kajala K, Shaar-Moshe L, Manzano C, Timilsena P, De Bellis D, Gray S, Holbein J, Yang H, Mohammad S, Nirmal N, Suresh K, Ursache R, Mason GA, Gouran M, West DA, Borowsky AT, Shackel KA, Sinha N, Bailey-Serres J*, Geldner N, Li S*, Franke RB, Brady SM*' class='scea-table'>Canto-Pastor A, Kajala K, Shaar-Moshe L, Manzano C, Timilsena P, De Bellis D, Gray S, Holbein J, Yang H, Mohammad S, Nirmal N, Suresh K, Ursache R, Mason GA, Gouran M, West DA, Borowsky AT, Shackel KA, Sinha N, Bailey-Serres J*, Geldner N, Li S*, Franke RB, Brady SM*</div>",Yes,<div title='Nat Plants. 2024 Jan;10(1):118-130. doi: 10.1038/s41477-023-01567-x. Epub 2024 Jan 2.' class='scea-table'>Nat Plants. 2024 Jan;10(1):118-130. doi: 10.1038/s41477-023-01567-x. Epub 2024 Jan 2.</div>,<a href='http://dx.doi.org/10.1038/s41477-023-01567-x'>10.1038/s41477-023-01567-x</a>,22207,,,<i>Solanum lycopersicum</i>
<div title='Root Hair Single Cell Type Specific Profiles of Gene Expression and Alternative Polyadenylation Under Cadmium Stress' class='scea-table'>Root Hair Single Cell Type Specific Profiles of Gene Expression and Alternative Polyadenylation Under Cadmium Stress</div>,"<div title='Cao J, Ye C, Hao G, Dabney-Smith C, Hunt AG, Li QQ' class='scea-table'>Cao J, Ye C, Hao G, Dabney-Smith C, Hunt AG, Li QQ</div>",,<div title='Front Plant Sci. 2019 May 10;10:589. doi: 10.3389/fpls.2019.00589. eCollection 2019.' class='scea-table'>Front Plant Sci. 2019 May 10;10:589. doi: 10.3389/fpls.2019.00589. eCollection 2019.</div>,<a href='http://dx.doi.org/10.3389/fpls.2019.00589'>10.3389/fpls.2019.00589</a>,n/a,,,<i>Arabidopsis thaliana</i>
<div title='Single-cell RNA sequencing profiles reveal cell type-specific transcriptional regulation networks conditioning fungal invasion in maize roots' class='scea-table'>Single-cell RNA sequencing profiles reveal cell type-specific transcriptional regulation networks conditioning fungal invasion in maize roots</div>,"<div title='Cao Y, Ma J, Han S, Hou M, Wei X, Zhang X, Zhang ZJ, Sun S, Ku L, Tang J, Dong Z, Zhu Z, Wang X, Zhou X, Zhang L, Li X, Long Y, Wan X, Duan C' class='scea-table'>Cao Y, Ma J, Han S, Hou M, Wei X, Zhang X, Zhang ZJ, Sun S, Ku L, Tang J, Dong Z, Zhu Z, Wang X, Zhou X, Zhang L, Li X, Long Y, Wan X, Duan C</div>",,<div title='Plant Biotechnol J. 2023 Sep;21(9):1839-1859. doi: 10.1111/pbi.14097. Epub 2023 Jun 22.' class='scea-table'>Plant Biotechnol J. 2023 Sep;21(9):1839-1859. doi: 10.1111/pbi.14097. Epub 2023 Jun 22.</div>,<a href='http://dx.doi.org/10.1111/pbi.14097'>10.1111/pbi.14097</a>,29217,,,<i>Zea mays</i>
<div title='Cell-specific pathways recruited for symbiotic nodulation in the Medicago truncatula legume' class='scea-table'>Cell-specific pathways recruited for symbiotic nodulation in the Medicago truncatula legume</div>,"<div title='Cervantes-Perez SA, Thibivilliers S, Laffont C, Farmer AD*, Frugier F, Libault M*' class='scea-table'>Cervantes-Perez SA, Thibivilliers S, Laffont C, Farmer AD*, Frugier F, Libault M*</div>",Yes,<div title='Mol Plant. 2022 Dec 5;15(12):1868-1888. doi: 10.1016/j.molp.2022.10.021. Epub 2022 Nov 1.' class='scea-table'>Mol Plant. 2022 Dec 5;15(12):1868-1888. doi: 10.1016/j.molp.2022.10.021. Epub 2022 Nov 1.</div>,<a href='http://dx.doi.org/10.1016/j.molp.2022.10.021'>10.1016/j.molp.2022.10.021</a>,28375,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP390780.h5ad'>scPlantDB</a> <a href='https://shinycell.legumeinfo.org/medtr.A17.gnm5.ann1_6.expr.Cervantes-Perez_Thibivilliers_2022/'>LegumeInfo Shiny Viewer</a>,<i>Medicago truncatula</i>
<div title='Single-cell transcriptome atlases of soybean root and mature nodule reveal new regulatory programs that control the nodulation process' class='scea-table'>Single-cell transcriptome atlases of soybean root and mature nodule reveal new regulatory programs that control the nodulation process</div>,"<div title='Cervantes-Perez SA, Zogli P, Amini S*, Thibivilliers S, Tennant S, Hossain MS, Xu H, Meyer I, Nooka A, Ma P, Yao Q*, Naldrett MJ, Farmer A*, Martin O, Bhattacharya S, Klaever J, Libault M*' class='scea-table'>Cervantes-Perez SA, Zogli P, Amini S*, Thibivilliers S, Tennant S, Hossain MS, Xu H, Meyer I, Nooka A, Ma P, Yao Q*, Naldrett MJ, Farmer A*, Martin O, Bhattacharya S, Klaever J, Libault M*</div>",Yes,<div title='Plant Commun. 2024 Aug 12;5(8):100984. doi: 10.1016/j.xplc.2024.100984. Epub 2024 Jun 6.' class='scea-table'>Plant Commun. 2024 Aug 12;5(8):100984. doi: 10.1016/j.xplc.2024.100984. Epub 2024 Jun 6.</div>,<a href='http://dx.doi.org/10.1016/j.xplc.2024.100984'>10.1016/j.xplc.2024.100984</a>,21521,,<a href='>https://shinycell.legumeinfo.org/glyma.Wm82.gnm2.ann1.expr.Cervantes-Perez_Zogli_2024/'>LegumeInfo Shiny Viewer</a>,<i>Glycine max</i>
